TrialNumber;word;color;ran;order;is congruent;Stim timestamp;key pressed;key timestamp;delta T;is correct
77;yellow;yellow;1.0;76.0;1.0;146.07721;y;146.71101;0.6338001;1.0
78;yellow;red;1.0;77.0;0.0;147.73122;r;149.00616;1.274951;1.0
79;green;yellow;1.0;78.0;0.0;150.10799;y;151.1109;1.0029097;1.0
80;green;green;1.0;79.0;1.0;152.13269;g;152.78212;0.649437;1.0
81;green;blue;1.0;80.0;0.0;153.81308;b;154.78226;0.9691678;1.0
82;blue;red;1.0;81.0;0.0;155.81377;r;156.73415;0.9203867;1.0
83;red;red;1.0;82.0;1.0;157.7624;r;158.30225;0.5398502;1.0
84;green;green;1.0;83.0;1.0;159.32233;g;159.93405;0.6117285;1.0
85;yellow;blue;1.0;84.0;0.0;160.96356;b;162.14215;1.1785808;1.0
86;green;yellow;1.0;85.0;0.0;163.16393;y;164.02272;0.8587909;1.0
87;blue;yellow;1.0;86.0;0.0;165.04431;y;165.63054;0.5862301;1.0
88;red;yellow;1.0;87.0;0.0;166.65874;y;167.14209;0.4833502;1.0
89;blue;green;1.0;88.0;0.0;168.16594;g;169.07045;0.9045136;1.0
90;yellow;green;1.0;89.0;0.0;170.1012;g;170.75899;0.6577925;1.0
91;blue;blue;1.0;90.0;1.0;171.78024;b;172.32611;0.5458594;1.0
92;red;green;1.0;91.0;0.0;173.3544;g;174.22237;0.8679673;1.0
93;yellow;red;1.0;92.0;0.0;175.24825;r;175.82213;0.5738913;1.0
94;yellow;yellow;1.0;93.0;1.0;176.84895;y;178.255;1.4060558;1.0
95;green;red;1.0;94.0;0.0;179.27684;r;180.04672;0.7698762;1.0
96;red;blue;1.0;95.0;0.0;181.07747;b;182.12662;1.0491489;1.0
97;red;red;1.0;96.0;1.0;183.15776;r;183.7741;0.6163287;1.0
98;blue;blue;1.0;97.0;1.0;184.79834;b;186.1987;1.4003685;1.0
99;blue;green;1.0;98.0;0.0;187.22615;g;187.78209;0.5559465;1.0
100;yellow;yellow;1.0;99.0;1.0;188.81342;y;189.31818;0.504766;1.0
101;red;blue;1.0;100.0;0.0;190.34581;b;191.15007;0.8042564;1.0
102;red;green;1.0;101.0;0.0;192.17334;g;192.82204;0.6487112;1.0
103;green;yellow;1.0;102.0;0.0;193.85373;y;194.7026;0.8488748;1.0
104;blue;yellow;1.0;103.0;0.0;195.73445;y;197.54977;1.815327;1.0
105;yellow;blue;1.0;104.0;0.0;198.57623;b;201.82248;3.246255;1.0
106;yellow;green;1.0;105.0;0.0;202.84465;g;203.91829;1.0736399;1.0
107;yellow;red;1.0;106.0;0.0;204.93764;r;205.60713;0.6694987;1.0
108;red;yellow;1.0;107.0;0.0;206.63153;y;207.27878;0.6472443;1.0
109;green;red;1.0;108.0;0.0;208.2988;r;208.85406;0.555256;1.0
110;blue;red;1.0;109.0;0.0;209.88596;r;210.39796;0.5120128;1.0
111;green;blue;1.0;110.0;0.0;211.41994;b;212.64594;1.2259935;1.0
112;green;green;1.0;111.0;1.0;213.67406;g;214.26993;0.5958845;1.0
113;yellow;red;1.0;112.0;0.0;215.30121;r;215.89453;0.5933286;1.0
114;green;green;1.0;113.0;1.0;216.91518;g;217.95035;1.0351722;1.0
115;red;red;1.0;114.0;1.0;218.98257;r;219.55804;0.5754737;1.0
116;red;green;1.0;115.0;0.0;220.58318;g;222.02242;1.4392282;1.0
117;red;blue;1.0;116.0;0.0;223.05064;b;223.69601;0.6453678;1.0
118;yellow;blue;1.0;117.0;0.0;224.71812;b;225.18196;0.4638393;1.0
119;green;red;1.0;118.0;0.0;226.21176;r;226.82271;0.6109384;1.0
120;red;yellow;1.0;119.0;0.0;227.85226;y;228.38205;0.5297813;1.0
121;blue;red;1.0;120.0;0.0;229.4129;r;230.08675;0.6738539;1.0
122;blue;yellow;1.0;121.0;0.0;231.1091;y;232.73389;1.6247909;1.0
123;yellow;green;1.0;122.0;0.0;233.76108;g;234.61401;0.8529356;1.0
124;yellow;yellow;1.0;123.0;1.0;235.64163;y;236.1899;0.5482588;1.0
125;blue;green;1.0;124.0;0.0;237.2156;g;237.93391;0.7183079;1.0
126;blue;blue;1.0;125.0;1.0;238.9628;b;241.0299;2.0671124;1.0
